metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kurrentdb.projection_state_size_bound,gauge,,byte,,"Threshold at which a large state appears in the metric, and the state size limit",0,kurrentdb,,
kurrentdb.projection_state_serialization_duration_max_seconds,gauge,,second,,Recent maximum time in seconds for a custom projection to serialize its state,0,kurrentdb,,
kurrentdb.projection_execution_duration_max_seconds,gauge,,second,,Recent maximum time in seconds for a custom projection to execute an event,0,kurrentdb,,
kurrentdb.projection_execution_duration_seconds.bucket,count,,,,Time taken by JS functions of custom projections to execute events (bucket counts),0,kurrentdb,,
kurrentdb.projection_execution_duration_seconds.count,count,,,,Time taken by JS functions of custom projections to execute events (observation count),0,kurrentdb,,
kurrentdb.projection_execution_duration_seconds.sum,count,,second,,Time taken by JS functions of custom projections to execute events (sum of observations),0,kurrentdb,,
kurrentdb.queue_queueing_duration_max_seconds,gauge,,second,,Recent maximum time in seconds a message waited in a queue group before being processed,0,kurrentdb,,
kurrentdb.queue_processing_duration_seconds.bucket,count,,,,Time taken to process messages of each type in a queue group (bucket counts),0,kurrentdb,,
kurrentdb.queue_processing_duration_seconds.count,count,,,,Time taken to process messages of each type in a queue group (observation count),0,kurrentdb,,
kurrentdb.queue_processing_duration_seconds.sum,count,,second,,Time taken to process messages of each type in a queue group (sum of observations),0,kurrentdb,,
kurrentdb.statuses,gauge,,,,"Seconds since the 1970 epoch when a Node, Index or Scavenge most recently had the status",0,kurrentdb,,
kurrentdb.writer_flush_size_max,gauge,,byte,,Recent maximum flush size in bytes,0,kurrentdb,,
kurrentdb.writer_flush_duration_max_seconds,gauge,,second,,Recent maximum flush duration in seconds,0,kurrentdb,,
kurrentdb.sys_load_avg,gauge,,,,"Average system load in the last 1, 5 and 15 minutes (Unix-like systems only)",0,kurrentdb,,
kurrentdb.sys_cpu,gauge,,percent,,Current system CPU usage percentage (not available on Unix-like systems),0,kurrentdb,,
kurrentdb.sys_mem_bytes,gauge,,byte,,Current free/total system memory in bytes,0,kurrentdb,,
kurrentdb.sys_disk_bytes,gauge,,byte,,Current used/total bytes of the disk mounted at a mount point,0,kurrentdb,,
kurrentdb.indexes_secondary_gap_bytes,gauge,,byte,,"Gap between the last indexed log record and the tail of the log, in bytes",0,kurrentdb,,
kurrentdb.indexes_secondary_lag_seconds,gauge,,second,,"Time taken between appending a log record and indexing it, in seconds",0,kurrentdb,,
kurrentdb.persistent_sub_parked_message_truncations,gauge,,,,Number of parked message truncations of the persistent subscription,0,kurrentdb,,
kurrentdb.aspnetcore_authentication_authenticate_duration_seconds.bucket,count,,,,Authentication duration for a request (bucket counts),0,kurrentdb,,
kurrentdb.aspnetcore_authentication_authenticate_duration_seconds.count,count,,,,Authentication duration for a request (observation count),0,kurrentdb,,
kurrentdb.aspnetcore_authentication_authenticate_duration_seconds.sum,count,,second,,Authentication duration for a request (sum of observations),0,kurrentdb,,
kurrentdb.aspnetcore_memory_pool_allocated_bytes.count,count,,byte,,Total bytes allocated by the memory pool when a rental request exceeds the available pooled memory,0,kurrentdb,,
kurrentdb.aspnetcore_memory_pool_evicted_bytes.count,count,,byte,,Total bytes evicted from the memory pool when idle memory is reclaimed,0,kurrentdb,,
kurrentdb.aspnetcore_memory_pool_pooled_bytes,gauge,,byte,,Bytes currently pooled and available for reuse,0,kurrentdb,,
kurrentdb.aspnetcore_memory_pool_rented_bytes.count,count,,byte,,Total bytes rented from the memory pool,0,kurrentdb,,
kurrentdb.aspnetcore_routing_match_attempts.count,count,,,,Requests that were attempted to be matched to an endpoint,0,kurrentdb,,
kurrentdb.http_server_active_requests,gauge,,request,,Active HTTP server requests,0,kurrentdb,,
kurrentdb.http_server_request_duration_seconds.bucket,count,,,,Duration of HTTP server requests (bucket counts),0,kurrentdb,,
kurrentdb.http_server_request_duration_seconds.count,count,,,,Duration of HTTP server requests (observation count),0,kurrentdb,,
kurrentdb.http_server_request_duration_seconds.sum,count,,second,,Duration of HTTP server requests (sum of observations),0,kurrentdb,,
kurrentdb.kestrel_active_connections,gauge,,connection,,Connections currently active on the server,0,kurrentdb,,
kurrentdb.kestrel_connection_duration_seconds.bucket,count,,,,Duration of connections on the server (bucket counts),0,kurrentdb,,
kurrentdb.kestrel_connection_duration_seconds.count,count,,,,Duration of connections on the server (observation count),0,kurrentdb,,
kurrentdb.kestrel_connection_duration_seconds.sum,count,,second,,Duration of connections on the server (sum of observations),0,kurrentdb,,
kurrentdb.kestrel_queued_connections,gauge,,connection,,Connections currently queued and waiting to start,0,kurrentdb,,
kurrentdb.messaging_kurrent_consumer_message_count.count,count,,message,,Total number of records received by a consumer,0,kurrentdb,,
kurrentdb.messaging_kurrent_producer_message_count.count,count,,message,,Total number of messages produced successfully,0,kurrentdb,,
kurrentdb.messaging_kurrent_producer_produce_duration_seconds.bucket,count,,,,Time taken to send a record (bucket counts),0,kurrentdb,,
kurrentdb.messaging_kurrent_producer_produce_duration_seconds.count,count,,,,Time taken to send a record (observation count),0,kurrentdb,,
