metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
artie.rows_processed,count,,,,Number of rows processed by Artie,0,artie,rows_processed,,
artie.ingestion_lag_ms,gauge,,millisecond,,Median time between a row being published to Kafka and being ingested by Artie,-1,artie,ingestion_lag_ms,,
artie.row_lag,gauge,,,,Number of rows remaining to be processed by Artie,-1,artie,row_lag,,
artie.flush_count,count,,,,Number of flushes from Artie's in-memory data store to the destination,0,artie,flush_count,,
artie.flush_time_ms,gauge,,millisecond,,Median time taken for Artie to flush rows to the destination,-1,artie,flush_time_ms,,
artie.replication_slot_size_mb,gauge,,megabyte,,Size of the replication slot Artie is using in any PostgreSQL source databases,-1,artie,replication_slot_size_mb,,
