metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
storm.bolt.last_60.acked,gauge,,sample,,Number of Acked Tuples,1,storm,,
storm.bolt.last_60.capacity,gauge,,fraction,,Bolt Capacity,-1,storm,,
storm.bolt.last_60.emitted,gauge,,sample,,Number of Emitted Tuples,1,storm,,
storm.bolt.last_60.errorLapsedSecs,gauge,,second,,Number of Seconds Since Last Error,1,storm,,
storm.bolt.last_60.executed,gauge,,sample,,Number of Tuples Executed,1,storm,,
storm.bolt.last_60.executeLatency,gauge,,millisecond,,Bolt Execute Latency,-1,storm,,
storm.bolt.last_60.executors,gauge,,thread,,Number of Bolt Executors,0,storm,,
storm.bolt.last_60.failed,gauge,,sample,,Number of Failed Tuples,-1,storm,,
storm.bolt.last_60.processLatency,gauge,,millisecond,,Bolt Process Latency,-1,storm,,
storm.bolt.last_60.requestedCpu,gauge,,percent,core,Bolt Requested CPU,0,storm,,
storm.bolt.last_60.requestedMemOffHeap,gauge,,mebibyte,,Bolt Requested Memory Off Heap,0,storm,,
storm.bolt.last_60.requestedMemOnHeap,gauge,,mebibyte,,Bolt Requested Memory On Heap,0,storm,,
storm.bolt.last_60.tasks,gauge,,task,task,Bolt Tasks,0,storm,,
storm.bolt.last_60.transferred,gauge,,sample,,Number of Transferred Tuples,1,storm,,
storm.cluster.availCpu,gauge,,core,,Available Storm Cluster CPU,0,storm,,
storm.cluster.availMem,gauge,,mebibyte,,Available Storm Cluster Memory,0,storm,,
storm.cluster.cpuAssignedPercentUtil,gauge,,percent,,Storm Cluster CPU Assigned Percent,-1,storm,,
storm.cluster.executorsTotal,gauge,,thread,,Total Storm Cluster Executors,0,storm,,
storm.cluster.memAssignedPercentUtil,gauge,,percent,,Storm Cluster Memory Assigned Percent,-1,storm,,
storm.cluster.slotsFree,gauge,,process,,Total Cluster Slots Available,0,storm,,
storm.cluster.slotsTotal,gauge,,process,,Total Cluster Slots,0,storm,,
storm.cluster.slotsUsed,gauge,,process,,Total Storm Cluster Slots Used,0,storm,,
storm.cluster.supervisors,gauge,,worker,,Total Storm Cluster Supervisors,0,storm,,
storm.cluster.tasksTotal,gauge,,task,task,Total Storm Cluster Tasks,0,storm,,
storm.cluster.topologies,gauge,,service,,Number of Storm Topologies,0,storm,,
storm.cluster.totalCpu,gauge,,core,,Total Storm Cluster CPU,0,storm,,
storm.cluster.totalMem,gauge,,mebibyte,,Total Storm Cluster Memory,0,storm,,
storm.nimbus.numDead,gauge,,node,,Number of Dead Nimbus Nodes,-1,storm,,
storm.nimbus.numFollowers,gauge,,node,,Number of Follower Nimbus Nodes,0,storm,,
storm.nimbus.numLeaders,gauge,,node,,Number of Leader Nimbus Nodes,0,storm,,
storm.nimbus.numOffline,gauge,,node,,Number of Offline Nimbus Nodes,-1,storm,,
storm.nimbus.upTimeSeconds,gauge,,second,,Nimbus Uptime Seconds,1,storm,,
storm.spout.last_60.acked,gauge,,sample,,Number of Acked Tuples,1,storm,,
storm.spout.last_60.completeLatency,gauge,,millisecond,,Spout Complete Latency,-1,storm,,
storm.spout.last_60.emitted,gauge,,sample,,Number of Emitted Tuples,1,storm,,
storm.spout.last_60.errorLapsedSecs,gauge,,second,,Number of Seconds Since Last Error,1,storm,,
storm.spout.last_60.executors,gauge,,thread,,Number of Spout Executors,0,storm,,
storm.spout.last_60.failed,gauge,,sample,,Number of Failed Tuples,-1,storm,,
