metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
agora.rtc.app_id.online_user,count,60,,,,0,agora_analytics,online_user,
agora.rtc.app_id.online_channel,count,60,,,,0,agora_analytics,online_channel,
agora.rtc.app_id.audio_freeze_rate,rate,60,,,,-1,agora_analytics,audio_freeze_rate,
agora.rtc.app_id.video_freeze_rate,rate,60,,,,-1,agora_analytics,video_freeze_rate,
agora.rtc.app_id.network_delay_rate,rate,60,,,,-1,agora_analytics,network_delay_rate,
agora.rtc.app_id.join_attempt,count,60,,,,0,agora_analytics	join_attempt,
agora.rtc.app_id.join_success_count,count,60,,,,0,agora_analytics,join_success_count,
agora.rtc.app_id.join_success_rate,rate,60,,,,-1,agora_analytics,join_success_rate,
agora.rtc.app_id.join_success_in_5s_rate,rate,60,,,,-1,agora_analytics,join_success_in_5s_rate,
