metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
celerdata.fe.starmgr_schedule_shard_ops.count,count,,,,Counter of operations by adding/remove shards to/from worker,0,celerdata,,
celerdata.fe.table_num,gauge,,,,Counter of tables,0,celerdata,,
celerdata.fe.thread_pool,gauge,,,,Statistics of the thread pool,0,celerdata,,
celerdata.fe.txn.begin.count,count,,,,Counter for transactions that were started,0,celerdata,,
celerdata.fe.txn.failed.count,count,,,,Counter for transactions that failed,0,celerdata,,
celerdata.fe.txn.reject.count,count,,,,Counter for transactions that were rejected,0,celerdata,,
celerdata.fe.txn.stream_load_begin_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_begin_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_begin_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_begin_num.count,count,,,,The number of begin operations in transaction stream load currently being handled,0,celerdata,,
celerdata.fe.txn.stream_load_commit_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_commit_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_commit_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_commit_num.count,count,,,,The number of commit operations in transaction stream load currently being handled,0,celerdata,,
celerdata.fe.txn.stream_load_load_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_load_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_load_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_load_num.count,count,,,,The number of load operations in transaction stream load currently being handled,0,celerdata,,
celerdata.fe.txn.stream_load_prepare_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_prepare_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_prepare_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_prepare_num.count,count,,,,The number of prepare operations in transaction stream load currently being handled,0,celerdata,,
celerdata.fe.txn.stream_load_rollback_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_rollback_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_rollback_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.txn.stream_load_rollback_num.count,count,,,,The number of rollback operations in transaction stream load currently being handled,0,celerdata,,
celerdata.fe.txn.success.count,count,,,,Counter for transactions that were successful,0,celerdata,,
celerdata.fe.unfinished_backup_job.count,count,,,,Current number of unfinished backup jobs,0,celerdata,,
celerdata.fe.unfinished_restore_job.count,count,,,,Current number of unfinished restore jobs,0,celerdata,,
celerdata.be.active_scan_context_count,gauge,,,,,0,celerdata,,
celerdata.be.async_delta_writer_execute_time_ns_total,gauge,,,,,0,celerdata,,
celerdata.be.async_delta_writer_execute.count,count,,,,,0,celerdata,,
celerdata.be.async_delta_writer_executed_tasks_total,gauge,,,,,0,celerdata,,
celerdata.be.async_delta_writer_pending_time_ns_total,gauge,,,,,0,celerdata,,
celerdata.be.async_delta_writer_queue_count,gauge,,,,,0,celerdata,,
celerdata.be.async_delta_writer_task_execute_duration_us.count,count,,,,,0,celerdata,,
celerdata.be.async_delta_writer_task_pending_duration_us.count,count,,,,,0,celerdata,,
celerdata.be.async_delta_writer_task.count,count,,,,,0,celerdata,,
celerdata.be.async_delta_writer_threadpool_size,gauge,,,,,0,celerdata,,
celerdata.be.base_compaction_task_byte_per_second,gauge,,,,,0,celerdata,,
celerdata.be.base_compaction_task_cost_time_ms,gauge,,,,,0,celerdata,,
celerdata.be.binary_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.bitmap_index_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.blocks_created.count,count,,,,,0,celerdata,,
celerdata.be.blocks_deleted.count,count,,,,,0,celerdata,,
celerdata.be.blocks_open_reading,gauge,,,,,0,celerdata,,
celerdata.be.blocks_open_writing,gauge,,,,,0,celerdata,,
celerdata.be.bloom_filter_index_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.broker_count,gauge,,,,,0,celerdata,,
celerdata.be.brpc_endpoint_stub_count,gauge,,,,,0,celerdata,,
celerdata.be.bthread.count,gauge,,,,,0,celerdata,,
celerdata.be.bthread.key_count,gauge,,,,,0,celerdata,,
celerdata.be.bthread.keytable_count,gauge,,,,,0,celerdata,,
celerdata.be.bthread.keytable_memory,gauge,,,,,0,celerdata,,
celerdata.be.bthread.signal_second,gauge,,,,,0,celerdata,,
celerdata.be.bthread.stack_count,gauge,,,,,0,celerdata,,
celerdata.be.bthread.switch_second,gauge,,,,,0,celerdata,,
celerdata.be.bthread.timer_scheduled_second,gauge,,,,,0,celerdata,,
celerdata.be.bthread.timer_triggered_second,gauge,,,,,0,celerdata,,
celerdata.be.bthread.timer_usage,gauge,,,,,0,celerdata,,
celerdata.be.bthread.worker_count,gauge,,,,,0,celerdata,,
celerdata.be.bthread.worker_usage,gauge,,,,,0,celerdata,,
celerdata.be.bvar_dump_interval,gauge,,,,,0,celerdata,,
celerdata.be.bvar_sampler_collector_usage,gauge,,,,,0,celerdata,,
celerdata.be.bytes_read.count,count,,,,,0,celerdata,,
celerdata.be.bytes_written.count,count,,,,,0,celerdata,,
celerdata.be.central_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.chunk_allocator_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.chunk_pool_local_core_alloc_count,count,,,,,0,celerdata,,
celerdata.be.chunk_pool_other_core_alloc_count,count,,,,,0,celerdata,,
celerdata.be.chunk_pool_system_alloc_cost_ns.count,count,,,,,0,celerdata,,
celerdata.be.chunk_pool_system_alloc_count,count,,,,,0,celerdata,,
celerdata.be.chunk_pool_system_free_cost_ns.count,count,,,,,0,celerdata,,
celerdata.be.chunk_pool_system_free_count,count,,,,,0,celerdata,,
celerdata.be.clone_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.buffer_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.buffer_item_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.current_reading_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.current_removing_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.current_writing_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.hit_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.hit_bytes_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.hit_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.hit_count_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.meta_used_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.miss_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.miss_bytes_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.miss_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.miss_count_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.object_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.object_item_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.prior_0_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.prior_0_item_counts,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.prior_1_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.prior_1_item_counts,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.read_disk_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.read_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.remove_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.remove_fail_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.remove_success_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.write_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.write_fail_count,gauge,,,,,0,celerdata,,
celerdata.be.cloud_cache.write_success_count,gauge,,,,,0,celerdata,,
celerdata.be.column_metadata_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.column_partial_update_apply_duration_us.count,count,,,,,0,celerdata,,
celerdata.be.column_partial_update_apply.count,count,,,,,0,celerdata,,
celerdata.be.column_pool_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.column_zonemap_index_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.compaction_bytes.count,count,,,,,0,celerdata,,
celerdata.be.compaction_deltas.count,count,,,,,0,celerdata,,
celerdata.be.compaction_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.consistency_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.cpu.count,count,,,,,0,celerdata,,
celerdata.be.cumulative_compaction_task_byte_per_second,gauge,,,,,0,celerdata,,
celerdata.be.cumulative_compaction_task_cost_time_ms,gauge,,,,,0,celerdata,,
celerdata.be.data_stream_receiver_count,gauge,,,,,0,celerdata,,
celerdata.be.datacache_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.date_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.datetime_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.decimal_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.delta_column_group_get_hit_cache.count,count,,,,,0,celerdata,,
celerdata.be.delta_column_group_get_non_pk_hit_cache.count,count,,,,,0,celerdata,,
celerdata.be.delta_column_group_get_non_pk.count,count,,,,,0,celerdata,,
celerdata.be.delta_column_group_get.count,count,,,,,0,celerdata,,
celerdata.be.delta_writer_wait_flush_duration_us.count,count,,,,,0,celerdata,,
celerdata.be.delta_writer_wait_replica_duration_us.count,count,,,,,0,celerdata,,
celerdata.be.disk_bytes_read.count,count,,,,,0,celerdata,,
celerdata.be.disk_bytes_written.count,count,,,,,0,celerdata,,
celerdata.be.disk_io_time_ms.count,count,,,,,0,celerdata,,
celerdata.be.disk_io_time_weigthed.count,count,,,,,0,celerdata,,
celerdata.be.disk_read_time_ms.count,count,,,,,0,celerdata,,
celerdata.be.disk_reads_completed.count,count,,,,,0,celerdata,,
celerdata.be.disk_sync.count,count,,,,,0,celerdata,,
celerdata.be.disk_write_time_ms.count,count,,,,,0,celerdata,,
celerdata.be.disk_writes_completed.count,count,,,,,0,celerdata,,
celerdata.be.disks_avail_capacity,gauge,,,,,0,celerdata,,
celerdata.be.disks_data_used_capacity,gauge,,,,,0,celerdata,,
celerdata.be.disks_state,gauge,,,,,0,celerdata,,
celerdata.be.disks_total_capacity,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_buffer_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_buffer_item_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_current_reading_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_current_removing_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_current_writing_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_hit_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_hit_bytes_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_hit_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_hit_count_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_meta_used_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_miss_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_miss_bytes_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_miss_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_miss_count_last_minite,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_object_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_object_item_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_prior_0_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_prior_0_item_counts,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_prior_1_item_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_prior_1_item_counts,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_read_disk_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_read_mem_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_remove_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_remove_fail_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_remove_success_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_write_bytes,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_write_fail_count,gauge,,,,,0,celerdata,,
celerdata.be.dla_cache_write_success_count,gauge,,,,,0,celerdata,,
celerdata.be.double_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.engine_requests.count,count,,,,,0,celerdata,,
celerdata.be.fd_num_limit,gauge,,,,,0,celerdata,,
celerdata.be.fd_num_used,gauge,,,,,0,celerdata,,
celerdata.be.float_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.fragment_endpoint_count,gauge,,,,,0,celerdata,,
celerdata.be.fragment_request_duration_us.count,count,,,,,0,celerdata,,
celerdata.be.fragment_requests.count,count,,,,,0,celerdata,,
celerdata.be.fslib.async_cache_files.count,count,,,,Counter of files cached asynchronously,0,celerdata,,
celerdata.be.fslib.cache_async_tasks.count,count,,,,Counter of asynchronous tasks scheduled,0,celerdata,,
celerdata.be.fslib.cache_full_evictions.count,count,,,,Counter of files deleted due to out of cache space,0,celerdata,,
celerdata.be.fslib.cache_threadpool_size,gauge,,,,Counter of CacheManager threadpool threads,0,celerdata,,
celerdata.be.fslib.close_io_latency.bucket.count,count,,,,Bucket of close IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.close_io_latency.count,count,,,,Counter of close IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.close_io_latency.sum,count,,,,Sum of close IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.delete_dir_io_latency.bucket.count,count,,,,Bucket of deleting dir io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_dir_io_latency.count,count,,,,Counter of deleting dir io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_dir_io_latency.sum,count,,,,Sum of deleting dir io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_file_io_latency.bucket.count,count,,,,Bucket of deleting file io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_file_io_latency.count,count,,,,Counter of deleting file io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_file_io_latency.sum,count,,,,Sum of deleting file io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_files_io_latency.bucket.count,count,,,,Bucket of deleting files io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_files_io_latency.count,count,,,,Counter of delete files io. unit: microsecond,0,celerdata,,
celerdata.be.fslib.delete_files_io_latency.sum,count,,,,Sum of delete files io. unit: microsecond,0,celerdata,,
celerdata.be.fslib.entry_exists.count,count,,,,Counter of filesystem exists calls,0,celerdata,,
celerdata.be.fslib.entry_stat.count,count,,,,Counter of filesystem stat calls,0,celerdata,,
celerdata.be.fslib.fs_create_files.count,count,,,,Counter of files created by the given filesystem,0,celerdata,,
celerdata.be.fslib.fs_delete_files.count,count,,,,Counter of how many files are deleted by given filesystem,0,celerdata,,
celerdata.be.fslib.fs_instance_count,gauge,,,,Counter of filesystem instances still alive,0,celerdata,,
celerdata.be.fslib.fs_open_files.count,count,,,,Counter of files opened by the given filesystem,0,celerdata,,
celerdata.be.fslib.list_dir.count,count,,,,Counter of filesystem list directory calls,0,celerdata,,
celerdata.be.fslib.list_latency.bucket.count,count,,,,Bucket of list latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.list_latency.count,count,,,,Counter of list latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.list_latency.sum,count,,,,Sum of list latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.open_cache_hits.count,count,,,,Counter of hits to cache file when opening a file for read,0,celerdata,,
celerdata.be.fslib.open_cache_misses.count,count,,,,Counter of misses to cache file when opening a file for read,0,celerdata,,
celerdata.be.fslib.qps_limit_error.count,count,,,,Counter of filesystem errors with QPS limit exceeded,0,celerdata,,
celerdata.be.fslib.read_io_latency.bucket.count,count,,,,Bucket of read IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.read_io_latency.count,count,,,,Counter of read IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.read_io_latency.sum,count,,,,Sum of read IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.read_io_size.bucket.count,count,,,,Bucket of read IO size. unit: bytes,0,celerdata,,
celerdata.be.fslib.read_io_size.count,count,,,,Counter of read IO size. unit: bytes,0,celerdata,,
celerdata.be.fslib.read_io_size.sum,count,,,,Sum of read IO size. unit: bytes,0,celerdata,,
celerdata.be.fslib.s3.complete_multi_upload_latency.bucket.count,count,,,,Bucket of S3 complete multi upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.complete_multi_upload_latency.count,count,,,,Counter of S3 complete multi upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.complete_multi_upload_latency.sum,count,,,,Sum of S3 complete multi upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.multi_upload_latency.bucket.count,count,,,,Bucket of S3 multi upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.multi_upload_latency.count,count,,,,Counter of S3 multi upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.multi_upload_latency.sum,count,,,,Sum of S3 multi upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.multi_upload_size.bucket.count,count,,,,Bucket of S3 multi upload object size. unit: bytes,0,celerdata,,
celerdata.be.fslib.s3.multi_upload_size.count,count,,,,Counter of S3 multi upload object size. unit: bytes,0,celerdata,,
celerdata.be.fslib.s3.multi_upload_size.sum,count,,,,Sum of S3 multi upload object size. unit: bytes,0,celerdata,,
celerdata.be.fslib.s3.single_upload_latency.bucket.count,count,,,,Bucket of S3 single upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.single_upload_latency.count,count,,,,Counter of S3 single upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.single_upload_latency.sum,count,,,,Sum of S3 single upload object latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.s3.single_upload_size.bucket.count,count,,,,Bucket of S3 single upload object size. unit: bytes,0,celerdata,,
