metric_name,metric_type,interval,unit_name,per_unit_name,integration,description,orientation,short_name,curated_metric
ybdb.automatic_split_manager_time,gauge,,,,yugabytedb_managed,,0,automatic_split_manager_time,
ybdb.block_cache_multi_touch_usage,gauge,,,,yugabytedb_managed,,0,block_cache_multi_touch_usage,
ybdb.block_cache_single_touch_usage,gauge,,,,yugabytedb_managed,,0,block_cache_single_touch_usage,
ybdb.cpu_stime,gauge,,,,yugabytedb_managed,,0,cpu_stime,
ybdb.cpu_utime,gauge,,,,yugabytedb_managed,,0,cpu_utime,
ybdb.expired_transactions,gauge,,,,yugabytedb_managed,,0,expired_transactions,
ybdb.follower_lag_ms,gauge,,,,yugabytedb_managed,,0,follower_lag_ms,
ybdb.follower_memory_pressure_rejections,gauge,,,,yugabytedb_managed,,0,follower_memory_pressure_rejections,
ybdb.generic_current_allocated_bytes,gauge,,,,yugabytedb_managed,,0,generic_current_allocated_bytes,
ybdb.generic_heap_size,gauge,,,,yugabytedb_managed,,0,generic_heap_size,
ybdb.glog_error_messages,gauge,,,,yugabytedb_managed,,0,glog_error_messages,
ybdb.glog_info_messages,gauge,,,,yugabytedb_managed,,0,glog_info_messages,
ybdb.glog_warning_messages,gauge,,,,yugabytedb_managed,,0,glog_warning_messages,
ybdb.handler_latency_outbound_call_queue_time_count,gauge,,,,yugabytedb_managed,,0,handler_latency_outbound_call_queue_time_count,
ybdb.handler_latency_outbound_call_queue_time_sum,gauge,,,,yugabytedb_managed,,0,handler_latency_outbound_call_queue_time_sum,
ybdb.handler_latency_outbound_transfer_count,gauge,,,,yugabytedb_managed,,0,handler_latency_outbound_transfer_count,
ybdb.handler_latency_outbound_transfer_sum,gauge,,,,yugabytedb_managed,,0,handler_latency_outbound_transfer_sum,
ybdb.hybrid_clock_skew,gauge,,,,yugabytedb_managed,,0,hybrid_clock_skew,
ybdb.involuntary_context_switches,gauge,,,,yugabytedb_managed,,0,involuntary_context_switches,
ybdb.leader_memory_pressure_rejections,gauge,,,,yugabytedb_managed,,0,leader_memory_pressure_rejections,
ybdb.log_append_latency_count,gauge,,,,yugabytedb_managed,,0,log_append_latency_count,
ybdb.log_append_latency_sum,gauge,,,,yugabytedb_managed,,0,log_append_latency_sum,
ybdb.log_bytes_logged,gauge,,,,yugabytedb_managed,,0,log_bytes_logged,
ybdb.log_cache_num_ops,gauge,,,,yugabytedb_managed,,0,log_cache_num_ops,
ybdb.log_cache_size,gauge,,,,yugabytedb_managed,,0,log_cache_size,
ybdb.log_group_commit_latency_count,gauge,,,,yugabytedb_managed,,0,log_group_commit_latency_count,
ybdb.log_group_commit_latency_sum,gauge,,,,yugabytedb_managed,,0,log_group_commit_latency_sum,
ybdb.log_reader_bytes_read,gauge,,,,yugabytedb_managed,,0,log_reader_bytes_read,
ybdb.log_sync_latency_count,gauge,,,,yugabytedb_managed,,0,log_sync_latency_count,
ybdb.log_sync_latency_sum,gauge,,,,yugabytedb_managed,,0,log_sync_latency_sum,
ybdb.majority_sst_files_rejections,gauge,,,,yugabytedb_managed,,0,majority_sst_files_rejections,
ybdb.node_cpu_seconds_total,gauge,,,,yugabytedb_managed,,0,node_cpu_seconds_total,
ybdb.node_disk_read_bytes_total,gauge,,,,yugabytedb_managed,,0,node_disk_read_bytes_total,
