metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
chrony.stratum,gauge,,,,"NTP stratum level of the chrony server",0,chrony,stratum,
chrony.systime,gauge,,second,,"System time offset from NTP time in seconds",0,chrony,systime,
chrony.frequency,gauge,,,,"Frequency offset of the system clock in ppm",0,chrony,frequency,
chrony.residualfreq,gauge,,,,"Residual frequency offset in ppm",0,chrony,residualfreq,
chrony.skew,gauge,,,,"Estimated error bound on the frequency in ppm",0,chrony,skew,
chrony.rootdelay,gauge,,second,,"Total of the network path delays to the stratum-1 server in seconds",0,chrony,rootdelay,
chrony.rootdispersion,gauge,,second,,"Total dispersion accumulated back to the stratum-1 server in seconds",0,chrony,rootdispersion,
