metric_name,metric_type,interval,unit_name,description,orientation,integration,short_name
apifortress.events,gauge,,event,An API Fortress test result event,0,apifortress,result
apifortress.fetch,gauge,,millisecond,An API Fortress fetch result,0,apifortress,fetch
apifortress.latency,gauge,,millisecond,An API Fortress latency result,0,apifortress,latency
