metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
aqua.images,gauge,,unit,,The number of images seen by Aqua,0,aqua,images,
aqua.vulnerabilities,gauge,,occurrence,,The number and categories of vulnerabilities detected by Aqua,-1,aqua,vulns,
aqua.running_containers,gauge,,container,,The number of running containers seen by Aqua,0,aqua,running containers,
aqua.audit.access,gauge,,event,,The number of audit events per category,0,aqua,audit access,
aqua.scan_queue,gauge,,occurrence,,The number of scan queues per type,0,aqua,scan Q,
aqua.enforcers,gauge,,host,,The number of host enforcers per status,0,aqua,enforcers,
