metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
loadrunner.vusers.running,gauge,,,,Number of vusers currently running.,0,loadrunner_professional,vusers.running,
loadrunner.vusers.ready,gauge,,,,Number of vusers ready to run.,0,loadrunner_professional,vusers.ready,
loadrunner.vusers.finished,gauge,,,,Number of vusers that have finished running.,0,loadrunner_professional,vusers.finished,
loadrunner.vusers.error,gauge,,,,Number of vusers that have failed with error.,0,loadrunner_professional,vusers.error,
loadrunner.total.transactions.passed.per.sec,gauge,,transaction,second,Total transactions passed per second for the LoadRunner Controller.,0,loadrunner_professional,total.transactions.passed.per.sec,
loadrunner.transaction.response_time,gauge,,second,,Specific transaction response time.,0,loadrunner_professional,transaction.response_time,
loadrunner.transaction.passed,gauge,,transaction,,Number of successful executions of the transaction.,0,loadrunner_professional,transaction.passed,
loadrunner.transaction.failed,gauge,,transaction,,Number of failed executions of the transaction.,0,loadrunner_professional,transaction.failed,
loadrunner.transaction.stopped,gauge,,transaction,,Number of stopped executions of the transaction.,0,loadrunner_professional,transaction.stopped,
