metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
gitea.accesses,gauge,,,,Number of Accesses.,1,gitea,accesses,
gitea.actions,gauge,,,Number of Actions.,1,gitea,actions,
gitea.attachments,gauge,,,Number of Attachments.,1,gitea,attachments,
gitea.comments,gauge,,,Number of Comments.,1,gitea,comments,
gitea.follows,gauge,,,Number of Follows.,1,gitea,follows,
gitea.hooktasks,gauge,,,Number of HookTasks.,1,gitea,hooktasks,
gitea.issues,gauge,,,Number of Issues.,1,gitea,issues,
gitea.issues.closed,gauge,,,Number of closed Issues.,1,gitea,issues closed,
gitea.issues.open,gauge,,,Number of open Issues.,1,gitea,issues open,
gitea.labels,gauge,,,Number of Labels.,1,gitea,labels,
gitea.loginsources,gauge,,,Number of LoginSources.,1,gitea,loginsources,
gitea.milestones,gauge,,,Number of Milestones.,1,gitea,milestones,
gitea.mirrors,gauge,,,Number of Mirrors.,1,gitea,mirrors,
gitea.oauths,gauge,,,Number of Oauths.,1,gitea,oauths,
gitea.organizations,gauge,,,Number of Organizations.,1,gitea,organizations,
gitea.projects,gauge,,,Number of Projects.,1,gitea,projects,
gitea.projects_boards,gauge,,,Number of project Boards.,1,gitea,projects boards,
gitea.publickeys,gauge,,,Number of PublicKeys.,1,gitea,publickeys,
gitea.releases,gauge,,,Number of Releases.,1,gitea,releases,
gitea.repositories,gauge,,,Number of Repositories.,1,gitea,repositories,
gitea.stars,gauge,,,Number of Stars.,1,gitea,stars,
gitea.teams,gauge,,,Number of Teams.,1,gitea,teams,
gitea.updatetasks,gauge,,,Number of UpdateTasks.,1,gitea,updatetasks,
gitea.users,gauge,,,Number of Users.,1,gitea,users,
gitea.watches,gauge,,,Number of Watches.,1,gitea,watches,
gitea.webhooks,gauge,,,Number of Webhooks.,1,gitea,webhooks,
gitea.go.info,gauge,,,Information about the Go environment.,1,gitea,go info,
gitea.go.goroutines,gauge,,,Number of goroutines that currently exist.,1,gitea,go goroutines,
gitea.go.threads,gauge,,,Number of OS threads created.,1,gitea,go threads,
gitea.metric_handler.requests_in_flight,gauge,,,Current number of scrapes being served.,1,gitea,requests in flight,
gitea.metric_handler.requests.count,count,,,Total number of scrapes by HTTP status code.,1,gitea,total requests,
gitea.process.cpu_seconds.count,count,,second,Total user and system CPU time spent in seconds.,1,gitea,cpu seconds,
gitea.process.max_fds,gauge,,,Maximum number of open file descriptors.,1,gitea,max open files,
gitea.process.open_fds,gauge,,,Number of open file descriptors.,1,gitea,open file,
gitea.process.resident_memory.bytes,gauge,,byte,Resident memory size in bytes.,1,gitea,resident memory,
gitea.process.start_time,gauge,,second,Start time of the process since unix epoch in seconds.,1,gitea,start time,
gitea.process.virtual_memory.bytes,gauge,,byte,Virtual memory size in bytes.,1,gitea,virtual memory,
gitea.process.virtual_memory.max_bytes,gauge,,byte,Maximum amount of virtual memory available in bytes.,1,gitea,max virtual memory,
