metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
session_total.five_minute,COUNT,300,,,,0,Embrace Mobile,sessions5m,
session_total.hourly,COUNT,3600,,,,0,Embrace Mobile,sessions1hr,
session_total.daily,COUNT,86400,,,,0,Embrace Mobile,sessions1d,
crash_total.five_minute,COUNT,300,,,,0,Embrace Mobile,crashes5m,
crash_total.hourly,COUNT,3600,,,,0,Embrace Mobile,crashes1hr,
crash_total.daily,COUNT,86400,,,,0,Embrace Mobile,crashes1d,
users_total.daily,COUNT,86400,,,unique users,0,Embrace Mobile,users1d,
