metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
mixpeek.pipeline.processed,count,,item,,Number of items processed by Mixpeek pipelines.,0,mixpeek,pipeline processed,
mixpeek.pipeline.latency,gauge,,millisecond,,Average latency of Mixpeek pipeline processing.,0,mixpeek,pipeline latency,
mixpeek.pipeline.errors,count,,error,,Number of pipeline processing errors.,0,mixpeek,pipeline errors,
mixpeek.search.queries,count,,query,,Number of search queries executed.,0,mixpeek,search queries,
mixpeek.search.latency,gauge,,millisecond,,Average search query latency.,0,mixpeek,search latency,
mixpeek.enrichment.images,count,,item,,Number of images enriched.,0,mixpeek,images enriched,
mixpeek.enrichment.videos,count,,item,,Number of videos enriched.,0,mixpeek,videos enriched,
mixpeek.enrichment.audio,count,,item,,Number of audio files enriched.,0,mixpeek,audio enriched,
mixpeek.enrichment.text,count,,item,,Number of text documents enriched.,0,mixpeek,text enriched,
