Metric Name,Type,Description
crdb_dedicated.queue.gc.info.transactionspangcaborted,(count),Number of GC'able entries corresponding to aborted txns
crdb_dedicated.queue.gc.info.transactionspangccommitted,(count),Number of GC'able entries corresponding to committed txns
crdb_dedicated.queue.gc.info.transactionspangcpending,(count),Number of GC'able entries corresponding to pending txns
crdb_dedicated.queue.gc.info.transactionspanscanned,(count),Number of entries in transaction spans scanned from the engine
crdb_dedicated.queue.gc.pending,(gauge),Number of pending replicas in the GC queue
crdb_dedicated.queue.gc.process.failure,(count),Number of replicas which failed processing in the GC queue
crdb_dedicated.queue.gc.process.success,(count),Number of replicas successfully processed by the GC queue
crdb_dedicated.queue.gc.processingnanos,(count),Nanoseconds spent processing replicas in the GC queue. Shown as nanosecond
crdb_dedicated.queue.raftlog.pending,(gauge),Number of pending replicas in the Raft log queue
crdb_dedicated.queue.raftlog.process.failure,(count),Number of replicas which failed processing in the Raft log queue
crdb_dedicated.queue.raftlog.process.success,(count),Number of replicas successfully processed by the Raft log queue
crdb_dedicated.queue.raftlog.processingnanos,(count),Nanoseconds spent processing replicas in the Raft log queue. Shown as nanosecond
crdb_dedicated.queue.raftsnapshot.pending,(gauge),Number of pending replicas in the Raft repair queue
crdb_dedicated.queue.raftsnapshot.process.failure,(count),Number of replicas which failed processing in the Raft repair queue
crdb_dedicated.queue.raftsnapshot.process.success,(count),Number of replicas successfully processed by the Raft repair queue
crdb_dedicated.queue.raftsnapshot.processingnanos,(count),Nanoseconds spent processing replicas in the Raft repair queue. Shown as nanosecond
crdb_dedicated.queue.replicagc.pending,(gauge),Number of pending replicas in the replica GC queue
crdb_dedicated.queue.replicagc.process.failure,(count),Number of replicas which failed processing in the replica GC queue
crdb_dedicated.queue.replicagc.process.success,(count),Number of replicas successfully processed by the replica GC queue
crdb_dedicated.queue.replicagc.processingnanos,(count),Nanoseconds spent processing replicas in the replica GC queue. Shown as nanosecond
crdb_dedicated.queue.replicagc.removereplica,(count),Number of replica removals attempted by the replica gc queue
crdb_dedicated.queue.replicate.addreplica,(count),Number of replica additions attempted by the replicate queue
