metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
eden.active_requests,gauge,,request,,Number of requests currently being processed.,0,eden,active requests,,"org_uuid:<ORG_UUID>,endpoint_uuid:<ENDPOINT_UUID>"
eden.request_sent,count,,request,,Total number of requests received.,1,eden,request count,,"org_uuid:<ORG_UUID>,endpoint_uuid:<ENDPOINT_UUID>"
eden.response_count,count,,response,,Total number of responses sent.,1,eden,response count,,"org_uuid:<ORG_UUID>,endpoint_uuid:<ENDPOINT_UUID>"
eden.total_duration.count,count,,sample,,Sample count for the eden.total_duration histogram.,0,eden,total duration count,,
eden.total_duration.sum,count,,microsecond,,Sum of total request processing duration samples.,0,eden,total duration sum,,
eden.total_duration.avg,gauge,,microsecond,,Average total request processing duration.,0,eden,total duration avg,,
eden.eden_duration.count,count,,sample,,Sample count for the eden.eden_duration histogram.,0,eden,eden duration count,,
eden.eden_duration.sum,count,,microsecond,,Sum of Eden-specific processing overhead samples.,0,eden,eden duration sum,,
eden.eden_duration.avg,gauge,,microsecond,,Average Eden-specific processing overhead per request.,0,eden,eden duration avg,,
eden.success_count,count,,request,,Total number of successful requests.,1,eden,success count,,org_uuid:<ORG_UUID>
eden.error_count,count,,error,,Total number of failed requests.,-1,eden,error count,,org_uuid:<ORG_UUID>
eden.upload_byte_count,count,,byte,,Total bytes uploaded in request bodies.,1,eden,upload bytes,,org_uuid:<ORG_UUID>
eden.upload_byte_distribution.count,count,,sample,,Sample count for eden.upload_byte_distribution.,0,eden,upload size count,,
eden.upload_byte_distribution.sum,count,,byte,,Sum of upload size samples.,0,eden,upload size sum,,
eden.upload_byte_distribution.avg,gauge,,byte,,Average upload size.,0,eden,upload size avg,,
eden.download_byte_count,count,,byte,,Total bytes downloaded in response bodies.,1,eden,download bytes,,org_uuid:<ORG_UUID>
eden.download_byte_distribution.count,count,,sample,,Sample count for eden.download_byte_distribution.,0,eden,download size count,,
eden.download_byte_distribution.sum,count,,byte,,Sum of download size samples.,0,eden,download size sum,,
eden.download_byte_distribution.avg,gauge,,byte,,Average download size.,0,eden,download size avg,,
eden.unique_users,count,,user,,Total number of unique users seen.,1,eden,unique users,,
eden.logins,count,,event,,Total number of login events.,1,eden,logins,,"org_id:<ORG_ID>,user_id:<USER_ID>"
eden.local_cache_hits,count,,hit,,Local in-memory cache hits.,1,eden,local cache hits,,cache_type:<CACHE_TYPE>
eden.local_cache_misses,count,,miss,,Local in-memory cache misses.,-1,eden,local cache misses,,cache_type:<CACHE_TYPE>
eden.redis_cache_hits,count,,hit,,Redis cache hits.,1,eden,redis cache hits,,cache_type:redis
eden.redis_cache_misses,count,,miss,,Redis cache misses.,-1,eden,redis cache misses,,cache_type:redis
eden.connections,gauge,,connection,,Number of active async connections.,0,eden,connections,,"db_type:<DB_TYPE>,endpoint_uuid:<ENDPOINT_UUID>"
eden.rbac_pg_sync_lag,gauge,,event,,RBAC Redis stream lag for PG sync consumer.,-1,eden,rbac sync lag,,"group:rbac:pg-sync,stream:rbac:events"
eden.llm.requests,count,,request,,Total LLM API requests.,1,eden,llm requests,,"llm.provider:<PROVIDER>,llm.model:<MODEL>"
eden.llm.prompt_tokens,count,,token,,Total prompt tokens sent to LLMs.,1,eden,prompt tokens,,"llm.provider:<PROVIDER>,llm.model:<MODEL>"
eden.llm.completion_tokens,count,,token,,Total completion tokens generated by LLMs.,1,eden,completion tokens,,"llm.provider:<PROVIDER>,llm.model:<MODEL>"
eden.llm.total_tokens,count,,token,,Total tokens processed (prompt + completion).,1,eden,total tokens,,"llm.provider:<PROVIDER>,llm.model:<MODEL>"
eden.llm.total_tokens_distribution.count,count,,sample,,Sample count for total tokens per request.,0,eden,llm tokens count,,
eden.llm.total_tokens_distribution.sum,count,,token,,Sum of total tokens per request samples.,0,eden,llm tokens sum,,
eden.llm.total_tokens_distribution.avg,gauge,,token,,Average tokens per LLM request.,0,eden,llm tokens avg,,
eden.llm.tool.attempts,count,,attempt,,Total LLM tool invocation attempts.,1,eden,tool attempts,,tool_name:<TOOL_NAME>
eden.llm.tool.failures,count,,error,,Total LLM tool invocations that failed.,-1,eden,tool failures,,"tool_name:<TOOL_NAME>,reason:<REASON>"
eden.llm.tool.latency.count,count,,sample,,Sample count for LLM tool invocation latency.,0,eden,tool latency count,,
eden.llm.tool.latency.sum,count,,millisecond,,Sum of LLM tool invocation latency samples.,0,eden,tool latency sum,,
eden.llm.tool.latency.avg,gauge,,millisecond,,Average LLM tool invocation latency.,0,eden,tool latency avg,,
eden.iam.super_admins,gauge,,,,Current count of super admin role assignments.,0,eden,super admins,,org_uuid:<ORG_UUID>
eden.iam.admins,gauge,,,,Current count of admin role assignments.,0,eden,admins,,org_uuid:<ORG_UUID>
eden.iam.writers,gauge,,,,Current count of writer role assignments.,0,eden,writers,,org_uuid:<ORG_UUID>
eden.iam.readers,gauge,,,,Current count of reader role assignments.,0,eden,readers,,org_uuid:<ORG_UUID>
eden.endpoint.active_requests,gauge,,request,,Number of active endpoint requests.,0,eden,endpoint active requests,,"endpoint_uuid:<ENDPOINT_UUID>,endpoint_kind:redis,org_uuid:<ORG_UUID>"
eden.endpoint.total_requests,count,,request,,Total endpoint requests.,1,eden,endpoint total requests,,"endpoint_uuid:<ENDPOINT_UUID>,endpoint_kind:redis,org_uuid:<ORG_UUID>"
eden.endpoint.endpoint_duration.count,count,,sample,,Sample count for eden.endpoint.endpoint_duration.,0,eden,endpoint duration count,,
eden.endpoint.endpoint_duration.sum,count,,millisecond,,Sum of endpoint operation duration samples.,0,eden,endpoint duration sum,,
eden.endpoint.endpoint_duration.avg,gauge,,millisecond,,Average endpoint operation duration.,0,eden,endpoint duration avg,,
eden.analytics.active_endpoints,gauge,,service,,Active endpoints tracked by Eden analytics.,0,eden,active endpoints,,eden_node_uuid:<NODE_UUID>
eden.analytics.anomaly_transitions,count,,event,,Analytics anomaly state transitions observed by Eden.,0,eden,anomaly transitions,,eden_node_uuid:<NODE_UUID>
eden.analytics.burst_windows_active,count,,,,Active burst windows observed by Eden analytics.,0,eden,burst windows,,eden_node_uuid:<NODE_UUID>
eden.analytics.endpoints_evicted,count,,service,,Analytics endpoint series evicted from telemetry storage.,0,eden,endpoints evicted,,eden_node_uuid:<NODE_UUID>
eden.analytics.error_rate,gauge,,percent,,Current analytics error rate.,-1,eden,error rate,,eden_node_uuid:<NODE_UUID>
eden.analytics.events_force_sampled,count,,event,,Events force-sampled by Eden analytics.,0,eden,force sampled,,eden_node_uuid:<NODE_UUID>
eden.analytics.events_sampled,count,,event,,Events sampled by Eden analytics.,0,eden,events sampled,,eden_node_uuid:<NODE_UUID>
eden.analytics.latency_p95_us,gauge,,microsecond,,P95 analytics latency in microseconds.,-1,eden,p95 latency,,eden_node_uuid:<NODE_UUID>
eden.analytics.latency_p99_us,gauge,,microsecond,,P99 analytics latency in microseconds.,-1,eden,p99 latency,,eden_node_uuid:<NODE_UUID>
eden.analytics.overflow_events,count,,event,,Analytics overflow events observed by Eden.,-1,eden,overflow events,,eden_node_uuid:<NODE_UUID>
eden.analytics.sampling_rate,gauge,,percent,,Current Eden analytics sampling rate.,0,eden,sampling rate,,eden_node_uuid:<NODE_UUID>
eden.proxy.requests_total,count,,request,,Total proxy request batches processed.,1,eden,proxy requests,,"interlay_uuid:<INTERLAY_UUID>,endpoint_uuid:<ENDPOINT_UUID>,endpoint_kind:redis"
eden.proxy.commands_total,count,,command,,Total Redis commands observed inside proxy request batches.,1,eden,proxy commands,,"interlay_uuid:<INTERLAY_UUID>,endpoint_kind:redis,command_type:GET"
eden.proxy.request_duration_microseconds.count,count,,sample,,Sample count for proxy request latency.,0,eden,request duration count,,
eden.proxy.request_duration_microseconds.sum,count,,microsecond,,Sum of proxy request latency samples.,0,eden,request duration sum,,
eden.proxy.request_duration_microseconds.avg,gauge,,microsecond,,Average proxy request latency.,0,eden,request duration avg,,
eden.proxy.comparable_request_duration_microseconds.count,count,,sample,,Sample count for comparable proxy request latency.,0,eden,comparable count,,
eden.proxy.comparable_request_duration_microseconds.sum,count,,microsecond,,Sum of comparable proxy request latency samples.,0,eden,comparable sum,,
eden.proxy.comparable_request_duration_microseconds.avg,gauge,,microsecond,,Average comparable proxy request latency.,0,eden,comparable avg,,
eden.proxy.endpoint_duration_microseconds.count,count,,sample,,Sample count for backend endpoint dispatch.,0,eden,endpoint count,,
eden.proxy.endpoint_duration_microseconds.sum,count,,microsecond,,Sum of backend endpoint dispatch samples.,0,eden,endpoint sum,,
eden.proxy.endpoint_duration_microseconds.avg,gauge,,microsecond,,Average backend endpoint dispatch time.,0,eden,endpoint avg,,
eden.proxy.overhead_duration_microseconds.count,count,,sample,,Sample count for proxy overhead.,0,eden,overhead count,,
eden.proxy.overhead_duration_microseconds.sum,count,,microsecond,,Sum of proxy overhead samples.,0,eden,overhead sum,,
eden.proxy.overhead_duration_microseconds.avg,gauge,,microsecond,,Average proxy overhead per batch.,0,eden,overhead avg,,
eden.proxy.network_latency_microseconds.count,count,,sample,,Sample count for backend network I/O latency.,0,eden,network latency count,,
eden.proxy.network_latency_microseconds.sum,count,,microsecond,,Sum of backend network I/O latency samples.,0,eden,network latency sum,,
eden.proxy.network_latency_microseconds.avg,gauge,,microsecond,,Average backend network I/O latency.,0,eden,network latency avg,,
eden.proxy.bridge_request_queue_microseconds.count,count,,sample,,Sample count for client-to-processor queue time.,0,eden,bridge req queue count,,
eden.proxy.bridge_request_queue_microseconds.sum,count,,microsecond,,Sum of client-to-processor queue time samples.,0,eden,bridge req queue sum,,
eden.proxy.bridge_request_queue_microseconds.avg,gauge,,microsecond,,Average client-to-processor queue time.,0,eden,bridge req queue avg,,
eden.proxy.bridge_response_queue_microseconds.count,count,,sample,,Sample count for processor-to-client queue time.,0,eden,bridge resp queue count,,
eden.proxy.bridge_response_queue_microseconds.sum,count,,microsecond,,Sum of processor-to-client queue time samples.,0,eden,bridge resp queue sum,,
eden.proxy.bridge_response_queue_microseconds.avg,gauge,,microsecond,,Average processor-to-client queue time.,0,eden,bridge resp queue avg,,
eden.proxy.bridge_client_write_microseconds.count,count,,sample,,Sample count for client socket write time.,0,eden,bridge write count,,
eden.proxy.bridge_client_write_microseconds.sum,count,,microsecond,,Sum of client socket write time samples.,0,eden,bridge write sum,,
eden.proxy.bridge_client_write_microseconds.avg,gauge,,microsecond,,Average time spent writing a response chunk to the client.,0,eden,bridge write avg,,
eden.proxy.parse_duration_microseconds.count,count,,sample,,Sample count for protocol parse/framing time.,0,eden,parse count,,
eden.proxy.parse_duration_microseconds.sum,count,,microsecond,,Sum of protocol parse/framing time samples.,0,eden,parse sum,,
eden.proxy.parse_duration_microseconds.avg,gauge,,microsecond,,Average protocol parse/framing time.,0,eden,parse avg,,
eden.proxy.parse_gate_duration_microseconds.count,count,,sample,,Sample count for parse-path gate evaluation time.,0,eden,parse gate count,,
eden.proxy.parse_gate_duration_microseconds.sum,count,,microsecond,,Sum of parse-path gate evaluation samples.,0,eden,parse gate sum,,
eden.proxy.parse_gate_duration_microseconds.avg,gauge,,microsecond,,Average parse-path gate evaluation time.,0,eden,parse gate avg,,
eden.proxy.parse_decode_duration_microseconds.count,count,,sample,,Sample count for protocol decode time.,0,eden,parse decode count,,
eden.proxy.parse_decode_duration_microseconds.sum,count,,microsecond,,Sum of protocol decode time samples.,0,eden,parse decode sum,,
eden.proxy.parse_decode_duration_microseconds.avg,gauge,,microsecond,,Average protocol decode time.,0,eden,parse decode avg,,
eden.proxy.parse_materialize_duration_microseconds.count,count,,sample,,Sample count for command materialization time.,0,eden,parse materialize count,,
eden.proxy.parse_materialize_duration_microseconds.sum,count,,microsecond,,Sum of command materialization time samples.,0,eden,parse materialize sum,,
eden.proxy.parse_materialize_duration_microseconds.avg,gauge,,microsecond,,Average command materialization time.,0,eden,parse materialize avg,,
eden.proxy.parse_copy_duration_microseconds.count,count,,sample,,Sample count for parsed request byte assembly time.,0,eden,parse copy count,,
eden.proxy.parse_copy_duration_microseconds.sum,count,,microsecond,,Sum of parsed request byte assembly samples.,0,eden,parse copy sum,,
eden.proxy.parse_copy_duration_microseconds.avg,gauge,,microsecond,,Average parsed request byte assembly time.,0,eden,parse copy avg,,
eden.proxy.parse_bookkeeping_duration_microseconds.count,count,,sample,,Sample count for residual parse bookkeeping time.,0,eden,parse bookkeep count,,
eden.proxy.parse_bookkeeping_duration_microseconds.sum,count,,microsecond,,Sum of residual parse bookkeeping samples.,0,eden,parse bookkeep sum,,
eden.proxy.parse_bookkeeping_duration_microseconds.avg,gauge,,microsecond,,Average residual parse bookkeeping time.,0,eden,parse bookkeep avg,,
eden.proxy.policy_routing_duration_microseconds.count,count,,sample,,Sample count for policy/routing preparation time.,0,eden,policy count,,
eden.proxy.policy_routing_duration_microseconds.sum,count,,microsecond,,Sum of policy/routing preparation samples.,0,eden,policy sum,,
eden.proxy.policy_routing_duration_microseconds.avg,gauge,,microsecond,,Average policy/routing preparation time.,0,eden,policy avg,,
eden.proxy.backend_pool_wait_microseconds.count,count,,sample,,Sample count for backend pool wait time.,0,eden,pool wait count,,
eden.proxy.backend_pool_wait_microseconds.sum,count,,microsecond,,Sum of backend pool wait time samples.,0,eden,pool wait sum,,
eden.proxy.backend_pool_wait_microseconds.avg,gauge,,microsecond,,Average time spent acquiring a backend client.,0,eden,pool wait avg,,
eden.proxy.analytics_record_duration_microseconds.count,count,,sample,,Sample count for analytics recording time.,0,eden,analytics count,,
eden.proxy.analytics_record_duration_microseconds.sum,count,,microsecond,,Sum of analytics recording samples.,0,eden,analytics sum,,
eden.proxy.analytics_record_duration_microseconds.avg,gauge,,microsecond,,Average analytics/audit recording time per batch.,0,eden,analytics avg,,
eden.proxy.response_encode_duration_microseconds.count,count,,sample,,Sample count for response encoding time.,0,eden,resp encode count,,
eden.proxy.response_encode_duration_microseconds.sum,count,,microsecond,,Sum of response encoding samples.,0,eden,resp encode sum,,
eden.proxy.response_encode_duration_microseconds.avg,gauge,,microsecond,,Average response encoding time per batch.,0,eden,resp encode avg,,
eden.proxy.migration_wait_duration_microseconds.count,count,,sample,,Sample count for migration wait time.,0,eden,mig wait count,,
eden.proxy.migration_wait_duration_microseconds.sum,count,,microsecond,,Sum of migration wait samples.,0,eden,mig wait sum,,
eden.proxy.migration_wait_duration_microseconds.avg,gauge,,microsecond,,Average migration wait time per batch.,0,eden,mig wait avg,,
eden.proxy.bridge_request_chunks_total,count,,segment,,Request chunks accepted by the socket bridge.,1,eden,bridge req chunks,,
