metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
CPU Utilization,Count,,Percentage,,CPU utilization for each step performed ,0,Sofy,,

Memory Utilization,Count,,Megabyte,,Memory Utilization for each step performed ,0,Sofy,,

Load Time,Count,,Millisecond,,UI Load time for each step performed ,0,Sofy,,

Network,Count,,Kilobyte,,Network Utilization for each step performed ,0,Sofy,,
