metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kernelcare.uptodate,gauge,,,,The number of uptodate servers,0,kernelcare,uptodate,
kernelcare.outofdate,gauge,,,,The number of outofdate servers,0,kernelcare,outofdate,
kernelcare.unsupported,gauge,,,,The number of unsupported servers,0,kernelcare,unsupported,
kernelcare.inactive,gauge,,,,The number of inactive servers,0,kernelcare,inactive,
