Metric Name
datadog.agent.python.version
datadog.agent.retry_queue_duration.bytes_per_sec
datadog.agent.retry_queue_duration.capacity_bytes
datadog.agent.retry_queue_duration.capacity_secs
datadog.agent.running
datadog.dogstatsd.client.aggregated_context
datadog.dogstatsd.client.aggregated_context_by_type
datadog.dogstatsd.client.bytes_dropped
datadog.dogstatsd.client.bytes_dropped_queue
datadog.dogstatsd.client.bytes_dropped_writer
datadog.dogstatsd.client.bytes_sent
datadog.dogstatsd.client.events
datadog.dogstatsd.client.metric_dropped_on_receive
datadog.dogstatsd.client.metrics
datadog.dogstatsd.client.metrics_by_type
datadog.dogstatsd.client.packets_dropped
datadog.dogstatsd.client.packets_dropped_queue
datadog.dogstatsd.client.packets_dropped_writer
datadog.dogstatsd.client.packets_sent
datadog.dogstatsd.client.service_checks
datadog.estimated_usage.hosts
datadog.event.tracking.indexation.audit.events
datadog.event.tracking.intake.agentmetadata.bytes
datadog.event.tracking.intake.audit.bytes
datadog.event.tracking.intake.genresources.bytes
datadog.event.tracking.intake.monresult.bytes
datadog.event.tracking.intakev2.agentmetadata.bytes
datadog.event.tracking.intakev2.audit.bytes
datadog.event.tracking.intakev2.genresources.bytes
datadog.event.tracking.intakev2.monresult.bytes
datadog.netflow.aggregator.flows_contexts
datadog.netflow.aggregator.flows_flushed
datadog.netflow.aggregator.flows_received
datadog.netflow.aggregator.flush_duration
datadog.netflow.aggregator.flush_interval
datadog.netflow.aggregator.hash_collisions
datadog.netflow.aggregator.input_buffer.capacity
datadog.netflow.aggregator.input_buffer.length
datadog.netflow.aggregator.port_rollup.current_store_size
datadog.netflow.aggregator.port_rollup.new_store_size
datadog.process.agent
datadog.trace_agent.cpu_percent
datadog.trace_agent.events.max_eps.current_rate
datadog.trace_agent.events.max_eps.max_rate
datadog.trace_agent.events.max_eps.reached_max
datadog.trace_agent.events.max_eps.sample_rate
datadog.trace_agent.heap_alloc
datadog.trace_agent.heartbeat
datadog.trace_agent.receiver.out_chan_fill
datadog.trace_agent.sampler.kept
datadog.trace_agent.sampler.rare.hits
datadog.trace_agent.sampler.rare.misses
datadog.trace_agent.sampler.rare.shrinks
datadog.trace_agent.sampler.seen
datadog.trace_agent.sampler.size
datadog.trace_agent.stats_writer.bytes
datadog.trace_agent.stats_writer.client_payloads
datadog.trace_agent.stats_writer.encode_ms.avg
datadog.trace_agent.stats_writer.encode_ms.count
datadog.trace_agent.stats_writer.encode_ms.max
datadog.trace_agent.stats_writer.errors
datadog.trace_agent.stats_writer.payloads
datadog.trace_agent.stats_writer.retries
datadog.trace_agent.stats_writer.splits
datadog.trace_agent.stats_writer.stats_buckets
datadog.trace_agent.stats_writer.stats_entries
datadog.trace_agent.trace_writer.bytes
datadog.trace_agent.trace_writer.bytes_uncompressed
datadog.trace_agent.trace_writer.errors
datadog.trace_agent.trace_writer.events
datadog.trace_agent.trace_writer.payloads
datadog.trace_agent.trace_writer.retries
datadog.trace_agent.trace_writer.spans
datadog.trace_agent.trace_writer.traces
ntp.offset
system.cpu.context_switches
system.cpu.guest
system.cpu.idle
system.cpu.interrupt
system.cpu.iowait
system.cpu.num_cores
