metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
sigsci.agent.waf.total,rate,,request,second,"The number of requests inspected per second."
sigsci.agent.waf.error,rate,,error,second,"The number of errors per second while processing requests."
sigsci.agent.waf.allow,rate,,operation,second,"The number of allow operations per second."
sigsci.agent.waf.block,rate,,operation,second,"The number of block operations per second."
sigsci.agent.waf.perf.decision_time.50pct,gauge,,second,,"The decision time 50th percentile."
sigsci.agent.waf.perf.decision_time.95pct,gauge,,second,,"The decision time 95th percentile."
sigsci.agent.waf.perf.decision_time.99pct,gauge,,second,,"The decision time 99th percentile."
sigsci.agent.waf.perf.queue_time.50pct,gauge,,second,,"The queue time 50th percentile."
sigsci.agent.waf.perf.queue_time.95pct,gauge,,second,,"The queue time 95th percentile."
sigsci.agent.waf.perf.queue_time.99pct,gauge,,second,,"The queue time 99th percentile."
sigsci.agent.rpc.connections.open,gauge,,connection,,"The number of open rpc connections."
sigsci.agent.runtime.cpu_pct,gauge,,percent,,"CPU percent used by the agent."
sigsci.agent.runtime.mem.sys_bytes,gauge,,byte,,"Memory used by the agent."
sigsci.agent.runtime.uptime,gauge,,second,,"Agent uptime in seconds."
sigsci.agent.signal,rate,,,,"Number of signals of each type per second.".
