metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
magento_catalog_category_count,gauge,10,,,,,maurisource-magento,catalog_category_count,
magento_cms_block_count,gauge,10,,,Total count of available cms blocks,,maurisource-magento,magento_cms_block_count
magento_cms_page_count,gauge,10,,,Total count of available cms pages,,maurisource-magento,magento_cms_page_count
magento_cronjob_count,gauge,10,,,otal count of available CronJob Count.,,maurisource-magento,magento_cronjob_count
magento_cronjob_broken_count,gauge,10,,,Broken CronJobs occur when when status is pending but execution_time is set.,,maurisource-magento,magento_cronjob_broken_count
magento_orders_count,gauge,10,,,All Magento orders,,maurisource-magento,magento_orders_count
magento_customer_addresses_count,gauge,10,,,Count of Customer Adresses,,maurisource-magento,magento_customer_addresses_count
magento_customer_count,gauge,10,,,Total count of available customer,,maurisource-magento,magento_customer_count
magento_orders_amount,gauge,10,dollar,,Total amount of all Magento orders,,maurisource-magento,magento_orders_amount
magento_order_items_count,gauge,10,,,Total count of orderitems,,maurisource-magento,magento_order_items_count
magento_indexer_backlog_count,gauge,10,,,Total count of backlog item in indexer (the data from indexer:status command),,maurisource-magento,magento_indexer_backlog_count
magento_shipments_count,counter,10,,,Count of Shipments created by store and source.,,maurisource-magento,magento_shipments_count
magento_store_count,gauge,10,,,Total count of Stores by status.,,maurisource-magento,magento_store_count
magento_website_count,gauge,10,,,Total count websites.,,maurisource-magento,magento_website_count
magento_products_by_type_count,gauge,10,,,Total count of products by type.,,maurisource-magento,magento_products_by_type_count
magento_catalog_category_count,gauge,10,,,"Count of Categories by store, status and menu status.",,maurisource-magento,magento_catalog_category_count
magento_customer_group_count,gauge,10,,,Count of Customer groups,,maurisource-magento,magento_customer_group_count
magento_eav_attribute_count,gauge,10,,,,,maurisource-magento,magento_eav_attribute_count
magento_indexer_changelog_count,gauge,10,,,Count of last Changelog Indexer,,maurisource-magento,magento_indexer_changelog_count
magento_indexer_last_call_seconds_count,gauge,10,,,Count of last Call Indexer,,maurisource-magento,magento_indexer_last_call_seconds_count
magento_module_installed_count,gauge,10,,,Total count of Installed Magento Modules,,maurisource-magento,magento_module_installed_count
magento_orders_items_amount,gauge,10,dollar,,Total Amount of ordered Items,,maurisource-magento,magento_orders_items_amount
magento_orders_items_count,gauge,10,,,Total count of ordered items,,maurisource-magento,magento_orders_items_count
magento_active_payment_methods_count,gauge,10,,,Total count of active Payment Methods,,maurisource-magento,magento_active_payment_methods_count
magento_products_count,gauge,10,,,Total count of products,,maurisource-magento,magento_products_count
magento_active_shipping_methods_count,gauge,10,,,Count of active Shipping Methods,,maurisource-magento,magento_active_shipping_methods_count
magento_admin_user_count,gauge,10,,,Total count of Admin Users,,maurisource-magento,magento_admin_user_count
