metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
aerospike.namespace.batch_sub_udf_timeout,gauge,,,,Number of batch-index UDF subtransactions that timed out (for scan/query background UDF jobs).,0,aerospike,batch_sub_udf_timeout,,
aerospike.namespace.batch_sub_write_error,gauge,,,,Number of batch-index write subtransactions that failed with an error.,0,aerospike,batch_sub_write_error,,
aerospike.namespace.batch_sub_write_filtered_out,gauge,,,,Number of batch-index write subtransactions that did not happen because the record was filtered out with Filter Expressions.,0,aerospike,batch_sub_write_filtered_out,,
aerospike.namespace.batch_sub_write_success,gauge,,,,Number of records successfully written by batch-index subtransactions.,0,aerospike,batch_sub_write_success,,
aerospike.namespace.batch_sub_write_timeout,gauge,,,,Number of batch-index write subtransactions that timed out.,0,aerospike,batch_sub_write_timeout,,
aerospike.namespace.client_delete_error,gauge,,,,Number of client delete transactions that failed with an error.,0,aerospike,client_delete_error,,
aerospike.namespace.client_delete_error.count,count,,,,Number of client delete transactions that failed with an error.,0,aerospike,client_delete_error,,
aerospike.namespace.client_delete_filtered_out,gauge,,transaction,,Number of client delete transactions that did not happen because the record was filtered out using a predicate expression.,0,aerospike,client_delete_filtered_out,,
aerospike.namespace.client_delete_not_found,gauge,,,,Number of client delete transactions that resulted in a not found.,0,aerospike,client_delete_not_found,,
aerospike.namespace.client_delete_success,gauge,,,,Number of successful client delete transactions.,0,aerospike,client_delete_success,,
aerospike.namespace.client_delete_timeout,gauge,,,,Number of client delete transactions that timed out.,0,aerospike,client_delete_timeout,,
aerospike.namespace.client_lang_delete_success,gauge,,,,Number of client initiated udf transactions that successfully deleted a record.,0,aerospike,client_lang_delete_success,,
aerospike.namespace.client_lang_error,gauge,,,,Number of client initiated udf transactions that failed with an error.,0,aerospike,client_lang_error,,
aerospike.namespace.client_lang_read_success,gauge,,,,Number of successful client initiated udf read transactions.,0,aerospike,client_lang_read_success,,
aerospike.namespace.client_lang_write_success,gauge,,,,Number of successful client initiated udf write transactions.,0,aerospike,client_lang_write_success,,
aerospike.namespace.client_proxy_complete,gauge,,,,Number of completed proxy transactions initiated by a client request.,0,aerospike,client_proxy_complete,,
aerospike.namespace.client_proxy_error,gauge,,,,Number of proxy transactions initiated by a client request that failed with an error.,0,aerospike,client_proxy_error,,
aerospike.namespace.client_proxy_timeout,gauge,,,,Number of proxy transactions initiated by a client request that timed out.,0,aerospike,client_proxy_timeout,,
aerospike.namespace.client_read_error,gauge,,,,Number of client read transaction errors.,0,aerospike,client_read_error,,
aerospike.namespace.client_read_error.count,count,,,,Number of client read transaction errors.,0,aerospike,client_read_error,,
aerospike.namespace.client_read_filtered_out,gauge,,transaction,,Number of client read transactions that did not happen because the record was filtered out using a predicate expression.,0,aerospike,client_read_filtered_out,,
aerospike.namespace.client_read_filtered_out.count,count,,transaction,,Number of client read transactions that did not happen because the record was filtered out using a predicate expression.,0,aerospike,client_read_filtered_out,,
aerospike.namespace.client_read_not_found,gauge,,,,Number of client read transaction that resulted in not found.,0,aerospike,client_read_not_found,,
aerospike.namespace.client_read_not_found.count,count,,,,Number of client read transaction that resulted in not found.,0,aerospike,client_read_not_found,,
aerospike.namespace.client_read_success,gauge,,,,Number of successful client read transactions.,0,aerospike,client_read_success,,
aerospike.namespace.client_read_success.count,count,,,,Number of successful client read transactions.,0,aerospike,client_read_success,,
aerospike.namespace.client_read_timeout,gauge,,,,Number of client read transaction that timed out.,0,aerospike,client_read_timeout,,
aerospike.namespace.client_read_timeout.count,count,,,,Number of client read transaction that timed out.,0,aerospike,client_read_timeout,,
aerospike.namespace.client_tsvc_error,gauge,,,,Number of client transactions that failed in the transaction service before attempting to handle the transaction.,0,aerospike,client_tsvc_error,,
aerospike.namespace.client_tsvc_timeout,gauge,,,,Number of client transactions that timed out while in the transaction service before attempting to handle the transaction.,0,aerospike,client_tsvc_timeout,,
aerospike.namespace.client_udf_complete,gauge,,,,Number of completed udf transactions initiated by the client.,0,aerospike,client_udf_complete,,
aerospike.namespace.client_udf_error,gauge,,,,Number of failed udf transactions initiated by the client.,0,aerospike,client_udf_error,,
