metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
authzed_cloud.cockroachdb.capacity_available,gauge,,byte_in_decimal_bytes_family,,Remaining available capacity,1,authzed,crdb cap avail,,
authzed_cloud.cockroachdb.database_connections,gauge,,connection,,Open connections,0,authzed,crdb db conns,,
authzed_cloud.cockroachdb.read_iops,count,,operation,,Read IOPS,0,authzed,crdb read iops,,
authzed_cloud.cockroachdb.read_throughput,count,,byte_in_decimal_bytes_family,,Read throughput,0,authzed,crdb read tput,,
authzed_cloud.cockroachdb.request_latency_sum,count,,nanosecond,,Request latency,-1,authzed,crdb req lat,,
authzed_cloud.cockroachdb.request_latency_bucket,count,,nanosecond,,Request latency,-1,authzed,crdb req lat,,
authzed_cloud.cockroachdb.request_latency_count,count,,nanosecond,,Request latency,-1,authzed,crdb req lat,,
authzed_cloud.cockroachdb.system_cpu_usage,gauge,,percent,,CPU usage as a percentage of available CPU,0,authzed,crdb cpu usage,,
authzed_cloud.cockroachdb.write_iops,count,,operation,,Write IOPS,0,authzed,crdb write iops,,
authzed_cloud.cockroachdb.write_throughput,count,,byte_in_decimal_bytes_family,,Write throughput,0,authzed,crdb write tput,,
authzed_cloud.fgam.config_entities,gauge,,item,,The number of FGAM configurations currently active,0,authzed,fgam config ents,,
authzed_cloud.grpc.server_handled,count,,request,,"Total number of RPCs completed on the server, regardless of success or failure.",0,authzed,grpc server handled,,
authzed_cloud.grpc.server_handling_sum,count,,second,,Distribution of response latency (seconds) of gRPC calls that had been handled by the server.,0,authzed,grpc server handling,,
authzed_cloud.grpc.server_handling_bucket,count,,second,,Distribution of response latency (seconds) of gRPC calls that had been handled by the server.,0,authzed,grpc server handling,,
authzed_cloud.grpc.server_handling_count,count,,second,,Distribution of response latency (seconds) of gRPC calls that had been handled by the server.,0,authzed,grpc server handling,,
authzed_cloud.grpc.server_msg_received,count,,request,,Total number of RPC messages received on the server.,0,authzed,grpc server msg rcvd,,
authzed_cloud.grpc.server_msg_sent,count,,request,,Total number of gRPC messages sent by the server.,0,authzed,gprc server msg sent,,
authzed_cloud.grpc.server_started,count,,request,,Total number of RPCs started on the server.,0,authzed,grpc server started,,
authzed_cloud.materialize.hydrator.permission_hydrate,count,,item,,Number of permissions hydrated by the hydrator,0,authzed,mtrl permission hydrate,,
authzed_cloud.materialize.snapshotter.relationship_snapshot_total,count,,item,,Number of relations captured by the snapshotter,0,authzed,mtrl rel snapshot tot,,
authzed_cloud.materialize.updater.revision_processing_lag,gauge,,second,,An estimate of how long it takes a revision to become available in materialize,-1,authzed,mtrl revision lag,,
authzed_cloud.materialize.updater.update_duration_sum,count,,second,,How long the updater spends on each update,-1,authzed,mtrl update dur,,
authzed_cloud.materialize.updater.update_duration_bucket,count,,second,,How long the updater spends on each update,-1,authzed,mtrl update dur,,
authzed_cloud.materialize.updater.update_duration_count,count,,second,,How long the updater spends on each update,-1,authzed,mtrl update dur,,
authzed_cloud.metrics.up,gauge,,,,Indicates whether metrics are being sent by AuthZed,0,authzed,mtrl metrics up,c,
authzed_cloud.process.cpu,gauge,,core,,CPU usage estimate,0,authzed,spicedb cpu,,
authzed_cloud.process.virtual_memory,gauge,,byte_in_decimal_bytes_family,,Virtual memory size in bytes,-1,authzed,spicedb mem,,
authzed_cloud.rds.capacity_available,gauge,,byte_in_decimal_bytes_family,,Capacity available in RDS,1,authzed,rds cap avail,,
authzed_cloud.rds.database_connections,gauge,,connection,,Number of active DB connections,0,authzed,rds db conns,,
authzed_cloud.rds.read_iops,gauge,,operation,,Read I/O operations,0,authzed,rds read iops,,
authzed_cloud.rds.read_latency,gauge,,millisecond,,RDS read latency,-1,authzed,rds read lat,,
authzed_cloud.rds.read_throughput,gauge,,byte_in_decimal_bytes_family,second,Read throughput in bytes,0,authzed,rds read tput,,
authzed_cloud.rds.system_cpu_usage,gauge,,percent,,RDS CPU usage,0,authzed,rds cpu,,
authzed_cloud.rds.write_iops,gauge,,operation,,Write I/O operations,0,authzed,rds write iops,,
authzed_cloud.rds.write_latency,gauge,,millisecond,,RDS write latency,-1,authzed,rds write lat,,
authzed_cloud.rds.write_throughput,gauge,,byte_in_decimal_bytes_family,second,Write throughput in bytes,0,authzed,rds write tput,,
authzed_cloud.spicedb.cache.cost_added,gauge,,byte_in_decimal_bytes_family,,Cost of entries added to the cache,0,authzed,cache cost added,,
authzed_cloud.spicedb.cache.cost_evicted,gauge,,byte_in_decimal_bytes_family,,Cost of entries evicted from the cache,0,authzed,cache cost evicted,,
authzed_cloud.spicedb.cache.hits,count,,hit,,Number of cache hits,1,authzed,cache hits,,
authzed_cloud.spicedb.cache.misses,count,,miss,,Number of cache misses,-1,authzed,cache misses,,
authzed_cloud.spicedb.datastore.gc.duration_sum,count,,second,,How long a SpiceDB relation GC cycle lasts,-1,authzed,gc dur,,
authzed_cloud.spicedb.datastore.gc.duration_bucket,count,,second,,How long a SpiceDB relation GC cycle lasts,-1,authzed,gc dur,,
authzed_cloud.spicedb.datastore.gc.duration_count,count,,second,,How long a SpiceDB relation GC cycle lasts,-1,authzed,gc dur,,
authzed_cloud.spicedb.datastore.gc.expired_relationships,count,,item,,Number of SpiceDB relationships removed by GC,0,authzed,gc exp rels,,
authzed_cloud.spicedb.datastore.gc.failure,count,,attempt,,Number of SpiceDB relation GC failures,-1,authzed,gc fails,,
authzed_cloud.spicedb.datastore.gc.namespaces,count,,item,,Number of SpiceDB relation GC namespaces,0,authzed,gc namespaces,,
authzed_cloud.spicedb.datastore.gc.relationships,count,,item,,Number of SpiceDB relationships removed by GC,0,authzed,gc rels,,
authzed_cloud.spicedb.datastore.gc.transactions,count,,transaction,,Number of transactions associated with SpiceDB relation GC,0,authzed,gc txns,,
